VARIABLE NAME                  | ADDRESS 
ION_TIMER_HIGH                 | 0x008D
ION_TIMER_LOW                  | 0x008B
IP0                            | 0x00A9
IP1                            | 0x00F8
IPH                            | 0x00B9
IPH1                           | 0x00F9
IRCON                          | 0x00C0
IRCON0                         | 0x00B4
IRCON1                         | 0x00B5
IRCON2                         | 0x00B6
IRCON3                         | 0x00B4
IRCON4                         | 0x00B5
MISC_CON                       | 0x00E9
MMBPCR                         | 0x00F3
MMCR                           | 0x00F1
MMCR2                          | 0x00E9
MMDR                           | 0x00F5
MMICR                          | 0x00F4
MMSR                           | 0x00F2
MMWR1                          | 0x00EB
MMWR2                          | 0x00EC
MODPISEL                       | 0x00B3
MODPISEL1                      | 0x00B7
MODPISEL2                      | 0x00BA
MODSUSP                        | 0x00BD
NMICON                         | 0x00BB
NMISR                          | 0x00BC
OSC_CON                        | 0x00B6
P0_ALTSEL0                     | 0x0080
P0_ALTSEL1                     | 0x0086
P0_DATA                        | 0x0080
P0_DIR                         | 0x0086
P0_OD                          | 0x0080
P0_PUDEN                       | 0x0086
P0_PUDSEL                      | 0x0080
P1ANA                          | 0x0090
P1_ALTSEL0                     | 0x0090
P1_ALTSEL1                     | 0x0091
P1_DATA                        | 0x0090
P1_DIR                         | 0x0091
P1_OD                          | 0x0090
P1_PUDEN                       | 0x0091
P1_PUDSEL                      | 0x0090
P2_DATA                        | 0x00A0
P2_DIR                         | 0x00A1
P2_PUDEN                       | 0x00A1
P2_PUDSEL                      | 0x00A0
P3_ALTSEL0                     | 0x00B0
P3_ALTSEL1                     | 0x00B1
P3_DATA                        | 0x00B0
P3_DIR                         | 0x00B1
P3_OD                          | 0x00B0
P3_PUDEN                       | 0x00B1
P3_PUDSEL                      | 0x00B0
P4_ALTSEL0                     | 0x00C8
P4_ALTSEL1                     | 0x00C9
P4_DATA                        | 0x00C8
P4_DIR                         | 0x00C9
P4_OD                          | 0x00C8
P4_PUDEN                       | 0x00C9
P4_PUDSEL                      | 0x00C8
P5_ALTSEL0                     | 0x0092
P5_ALTSEL1                     | 0x0093
P5_DATA                        | 0x0092
P5_DIR                         | 0x0093
P5_OD                          | 0x0092
P5_PUDEN                       | 0x0093
P5_PUDSEL                      | 0x0092
PASSWD                         | 0x00BB
PCON                           | 0x0087
PLL_CON                        | 0x00B7
PMCON0                         | 0x00B4
PMCON1                         | 0x00B5
PMCON2                         | 0x00BB
PORT_PAGE                      | 0x00B2
PSW                            | 0x00D0
RCAP2H                         | 0x00CB
RCAP2L                         | 0x00CA
SBUF                           | 0x0099
SCON                           | 0x0098
SCU_PAGE                       | 0x00BF
SRELH                          | 0x00BA
SRELL                          | 0x00AA
SSC_BRH                        | 0x00AF
SSC_BRL                        | 0x00AE
SSC_CONH_O                     | 0x00AB
SSC_CONH_P                     | 0x00AB
SSC_CONL_O                     | 0x00AA
SSC_CONL_P                     | 0x00AA
SSC_PISEL                      | 0x00A9
SSC_RBL                        | 0x00AD
SSC_TBL                        | 0x00AC
SYSCON                         | 0x00B1
